Title,Date Posted,Employer,Location,Salary,Work Hours,Employment Type,Start Date,Vacancies,Languages,Education,Experience,Responsibilities,Benefits,Valid Through,url
occupational health and safety officer,"Posted on March 14, 2024",CENTRE INTÉGRÉ UNIVERSITAIRE DE SANTÉ ET DE SERVICES SOCIAUX DE LA MAURICIE-ET-DU-CENTRE-DU-QUÉBEC,"Drummondville, QC",22.36 HOUR,35 hours per week,Casual employmentPart time leading to full time,,2 vacancies,,,,,,4/3/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40512801?source=searchresults
babysitter,"Posted on March 20, 2024",Gonery Pierre Louis,"Sainte-Anne-des-Plaines, QC",15.25 HOUR,30 hours per week,Permanent employmentFull time,,1 vacancy,French,Secondary (high) school graduation certificate,1 to less than 7 months,"Assume full responsibility for household in absence of parents, Perform light housekeeping and cleaning duties, Travel with family on trips and assist with child supervision and housekeeping duties, Wash, iron and press clothing and household linens, Bathe, dress and feed infants and children, Discipline children according to the methods requested by the parents, Instruct children in personal hygiene and social development, Prepare infants and children for rest periods, Supervise and care for children, Tend to emotional well-being of children, Help children with homework","Free parking available, On-site amenities, On-site housing options, Transportation provided by employer",4/19/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40572411?source=searchresults
accountant,"Posted on March 13, 2024",Fed Finance,"Saint-Hyacinthe, QC","100,000 YEAR",,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/11/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40504972?source=searchresults
early childhood educator (ECE),"Posted on March 18, 2024",CPE de l'Érablière,"Gatineau, QC",21.60 HOUR,70 hours per week,Permanent employmentFull time,,1 vacancy,,,,,,4/2/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40546439?source=searchresults
day camp leader,"Posted on March 16, 2024",Canadian Forces Morale and Welfare Services - CFMWS,"Québec, QC",17.15 HOUR,,Term or contract,Starts as soon as possible,1 vacancy,,,,,,4/14/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40536373?source=searchresults
price management analyst,"Posted on March 26, 2024",Fed Supply,"Montréal, QC","35,000 YEAR",,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/24/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40624716?source=searchresults
sales consultant - retail,"Posted on March 29, 2024",Mulligan International,"Beloeil, QC",18.00 HOUR,,Permanent employmentFull time,Starts as soon as possible,2 vacancies,,,,,,4/27/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40655262?source=searchresults
paper tube production helper,"Posted on March 15, 2024",Domtar - Usine de Windsor,"Windsor, QC",41.06 HOUR,,Permanent employment,Starts as soon as possible,1 vacancy,,,,,,4/13/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40520449?source=searchresults
production agent,"Posted on March 20, 2024",Papiers White Birch - Stadacona,"Québec, QC",28.80 HOUR,,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/18/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40564461?source=searchresults
groom - farm,"Posted on March 25, 2024",JEFO NUTRITION INC.,"Saint-Hyacinthe, QC",17.00 HOUR,8 to 16 hours per week,Permanent employmentPart time,Starts as soon as possible,1 vacancy,French,"No degree, certificate or diploma",3 years to less than 5 years,"Handling animals, Feed and tend animals",Free parking available,4/24/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40612985?source=searchresults
electrical engineer,"Posted on March 27, 2024",Fed Ingénierie,"Salaberry-de-Valleyfield, QC","90,000 YEAR",,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/25/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40637633?source=searchresults
lift truck operator,"Posted on March 25, 2024",Elle R Cosmétiques,"Mercier, QC",22.00 HOUR,,Full time,Starts as soon as possible,1 vacancy,,,,,,,https://www.jobbank.gc.ca/jobsearch/jobposting/40658150?source=searchresults
payment processing unit supervisor,"Posted on March 18, 2024",Fed Finance,"Montréal, QC","90,000 YEAR",,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/16/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40546669?source=searchresults
fast food restaurant manager,"Posted on March 06, 2024",LES PLACEMENTS LOUIS-MICHEL BRADETTE INC.,"Saint-Félicien, QC","50,000 YEAR",40 hours per week,Permanent employmentFull time,,2 vacancies,,,,,,4/17/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40437660?source=searchresults
food service attendant,"Posted on March 15, 2024",ARAMARK QUEBEC INC.,"Kirkland, QC",18.37 HOUR,37.5 hours per week,Permanent employmentFull time,,1 vacancy,,,,,,4/26/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40524644?source=searchresults
occupational hygiene officer,"Posted on March 22, 2024","LE GROUPE GESFOR, POIRIER, PINCHIN INC.","Québec, QC","50,600.00 HOUR",37.5 hours per week,Permanent employmentFull time,,1 vacancy,,,,,,4/20/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40588703?source=searchresults
produce department supervisor,"Posted on January 16, 2024",Marché Lamontagne & Fille Inc.,"Saint-Félicien, QC",16.90 HOUR,32 to 40 hours per week,Permanent employmentFull time,Starts as soon as possible,1 vacancy,French,"No degree, certificate or diploma",1 to less than 7 months,"Supervise staff (apprentices, stages hands, design team, etc.), Authorize return of merchandise, Sell merchandise, Organize and maintain inventory, Supervise and co-ordinate activities of workers","Dental plan, Disability benefits, Health care plan, As per collective agreement, Long-term care insurance, Learning/training paid by employer, Other benefits, Parking available",3/29/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40546562?source=searchresults
electrical mechanic,"Posted on March 24, 2024",CamPro inc.,"Saint-Augustin-de-Desmaures, QC",26.00 HOUR,,Permanent employmentFull time,Starts as soon as possible,2 vacancies,,,,,,4/22/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40604633?source=searchresults
physical therapist,"Posted on March 01, 2024",CLINIQUE DE PHYSIOTHERAPIE DE CHANDLER INC.,"Chandler, QC",27.46 WEEKLY,35 hours per week,Term or contractFull time,,1 vacancy,,,,,,4/13/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40403915?source=searchresults
general labourer - manufacturing,"Posted on March 28, 2024",MEI Assainissement,"Trois-Rivières, QC",20.50 HOUR,,Permanent employmentFull time,Starts as soon as possible,2 vacancies,,,,,,4/26/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40649877?source=searchresults
midwife,"Posted on March 08, 2024",CISSS de l'Abitibi-Témiscamingue,"Val-d'Or, QC",41.47 HOUR,,Term or contractPart time,Starts as soon as possible,1 vacancy,,,,,,4/6/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40457674?source=searchresults
building services worker,"Posted on March 25, 2024",CLUB MULTIVOILE 4 SAISONS,"Trois-Rivières, QC",15.35 HOUR,35 hours per week,Seasonal employmentFull time,,1 vacancy,,,,,,4/5/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40616353?source=searchresults
administrative assistant,"Posted on March 07, 2024",Société du Plan Nord,"Québec, QC","41,055 YEAR",,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/5/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40451568?source=searchresults
administration services coordinator,"Posted on March 17, 2024",Groupe Morneau,"Québec, QC","52,000 YEAR",,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/15/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40543771?source=searchresults
tire repairer,"Posted on January 03, 2024",2624-0085 Québec Inc.,"Chicoutimi, QC",22.00 HOUR,40 hours per week,Term or contractFull time,Starts as soon as possible,3 vacancies,French,"No degree, certificate or diploma",7 months to less than 1 year,,"Free parking available, Learning/training paid by employer, On-site amenities, On-site recreation and activities, Other benefits, Paid time off (volunteering or personal days), Team building opportunities",4/18/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/39933595?source=searchresults
fabrication shop helper - metal products,"Posted on March 13, 2024",SIGNALISATION LEVIS INC.,"Saint-Romuald, QC",20.00 HOUR,39.5 hours per week,Permanent employmentFull time,,2 vacancies,,,,,,4/10/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40503693?source=searchresults
forestry technician,"Posted on March 08, 2024",Scierie St-Michel Inc,"Saint-Michel-des-Saints, QC","55,000 YEAR",45 to 55 hours per week,Permanent employmentFull time,Starts as soon as possible,1 vacancy,French,"College, CEGEP or other non-university certificate or diploma from a program of 1 year to 2 years

or equivalent experience",Experience an asset,"Perform technical functions in preparation of forest management and harvest plan, Assist in planning and supervise construction of access routes and forest roads, Monitor activities of logging companies and contractors, Enforce environmental, fire safety and accident prevention regulation","Dental plan, Disability benefits, Health care plan, Paramedical services coverage, Gasoline paid, Group insurance benefits, Life insurance, Registered Retirement Savings Plan (RRSP), Long-term care insurance, Free parking available, Learning/training paid by employer, On-site housing options, Paid time off (volunteering or personal days), Team building opportunities, Parking available, Travel insurance, Wellness program",4/7/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40457620?source=searchresults
boilermaker-welder,"Posted on March 20, 2024",LES SOUDURES DE PRECISION INC.,"Pintendre, QC",22.00 HOUR,40 hours per week,Permanent employmentFull time,,2 vacancies,,,,,,4/30/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40574233?source=searchresults
administrative technician,"Posted on March 27, 2024","Ministère de l'Immigration, de la Francisation et de l'Intégration","Montréal, QC",21.37 HOUR,35 hours per week,Term or contractFull time,,2 vacancies,,,,,,4/7/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40638258?source=searchresults
operations supervisor,"Posted on March 25, 2024",PREVENTION INCENDIE SAFETY FIRST INC,"Québec, QC",25.00 HOUR,40 hours per week,Permanent employmentFull time,,1 vacancy,,,,,,4/5/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40613190?source=searchresults
"handler, materials","Posted on March 26, 2024",Nutrinor coopérative,"Sept-Îles, QC",25.00 HOUR,,Full time,Starts as soon as possible,1 vacancy,,,,,,,https://www.jobbank.gc.ca/jobsearch/jobposting/40627510?source=searchresults
welder-assembler,"Posted on March 29, 2024",Service Industriel Mécanix inc.,"Montréal, QC",22.00 HOUR,,Permanent employmentFull time,Starts as soon as possible,3 vacancies,,,,,,4/27/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40659033?source=searchresults
auto parts clerk - retail,"Posted on March 07, 2024",9072-6191 Québec Inc.,"Saint-Eustache, QC",23.00 HOUR,40 hours per week,Permanent employmentFull time,,1 vacancy,,,,,,4/2/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40448502?source=searchresults
payroll clerk,"Posted on March 19, 2024",Fed Finance,"Rougemont, QC","45,000 YEAR",,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/17/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40557382?source=searchresults
casual worker - public works,"Posted on March 28, 2024",Ministère des Transports et de la Mobilité durable,"Montmagny, QC",21.80 HOUR,38.45 hours per week,Casual employmentFull time,,2 vacancies,,,,,,4/12/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40647398?source=searchresults
"engineer, network systems","Posted on March 19, 2024",Fed Ingénierie,"Dorval, QC","90,000 YEAR",,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/17/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40560230?source=searchresults
industrial mechanic,"Posted on March 07, 2024",Produits Kruger,"Crabtree, QC",33.45 HOUR,,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/5/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40449361?source=searchresults
corporate chef,"Posted on March 28, 2024",Les amis du Lac Arnold,"Québec, QC","60,000 YEAR",,Term or contractFull time,Starts as soon as possible,1 vacancy,,,,,,4/27/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40650208?source=searchresults
administrative assistant - office,"Posted on March 27, 2024",MINISTÈRE DE LA SECURITE PUBLIQUE,"Sherbrooke, QC",18.65 HOUR,35 hours per week,Casual employmentFull time,,1 vacancy,,,,,,4/11/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40643895?source=searchresults
merchandiser,"Posted on March 03, 2024",PepsiCo Canada,"Lachine, QC",18.00 HOUR,,Part time,Starts as soon as possible,3 vacancies,,,,,,4/1/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40414017?source=searchresults
assistant manager - retail trade,"Posted on January 09, 2024",Supermarché St-Hilaire Inc.,"Mont-Saint-Hilaire, QC","39,780 YEAR",45 hours per week,Permanent employmentFull time,Starts as soon as possible,1 vacancy,French,"Secondary (high) school graduation certificate

or equivalent experience",1 year to less than 2 years,"Manage staff and assign duties, Determine merchandise and services to be sold, Implement price and credits policies, Locate, select and procure merchandise for resale, Plan budgets and monitor revenues and expenses, Determine staffing requirements, Resolve issues that may arise, including customer requests, complaints and supply shortages, Plan, organize, direct, control and evaluate daily operations, Conduct performance reviews, Supervise staff, 5-10 people, Working groups, Grocery clerks and shelf stockers","Health care plan, Paramedical services coverage, Long-term care insurance, Free parking available, Paid time off (volunteering or personal days), Team building opportunities, Parking available, Variable or compressed work week",4/7/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/39985395?source=searchresults
cook,"Posted on March 28, 2024",SOCIETE EN COMMANDITE PMA (Marché d'alimentation Pasquier St-Jean),"Saint-Jean-sur-Richelieu, QC",17.20 HOUR,40 hours per week,Permanent employmentFull time,,1 vacancy,,,,,,5/3/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40646368?source=searchresults
shipping supervisor,"Posted on March 26, 2024",Thermafix inc.,"Amos, QC",24.00 HOUR,,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/24/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40625306?source=searchresults
"clerk, customer service","Posted on March 25, 2024",SOCIETE DES ETABLISSEMENTS DE PLEIN AIR DU QUEBEC,"Percé, QC",15.95 HOUR,35 hours per week,Seasonal employmentFull time,,1 vacancy,,,,,,4/25/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40614721?source=searchresults
network system administrator,"Posted on March 06, 2024",Fed IT,"Montréal, QC","75,000 YEAR",,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/4/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40437101?source=searchresults
lubrication technician - automotive service and repair,"Posted on March 15, 2024",Canadian Tire L'Ancienne-Lorette,"L'Ancienne-Lorette, QC",18.00 HOUR,40 hours per week,Permanent employmentFull time,Starts as soon as possible,2 vacancies,English or French,"College, CEGEP or other non-university certificate or diploma from a program of 3 months to less than 1 year",1 to less than 7 months,"Assist mechanics and perform other duties as directed, Change engine oil and lubricate running gears or moving parts of automobiles, trucks or heavy equipment, Provide on-site services, Repair and balance tires, Replace oil, air and fuel filters on motor vehicles, trucks and heavy equipment","Free parking available, Other benefits, Parking available",4/14/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40524496?source=searchresults
organization and productivity project manager,"Posted on March 27, 2024",HABITATIONS POPULAIRES DU QUEBEC,"Trois-Rivières, QC",30.00 HOUR,40 hours per week,Permanent employmentFull time,,1 vacancy,,,,,,4/27/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40642665?source=searchresults
community counsellor - social services,"Posted on March 21, 2024",CARREFOUR JEUNESSE-EMPLOI DE  L'OUTAOUAIS,"Gatineau, QC","42,047 YEAR",35 hours per week,Permanent employmentFull time,,1 vacancy,,,,,,4/5/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40582566?source=searchresults
intermediate accountant,"Posted on March 08, 2024",Mallette S.E.N.C.R.L.,"Saint-Pascal, QC",32.63 HOUR,,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/6/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40455453?source=searchresults
apprentice motor vehicle mechanic,"Posted on March 21, 2024",JACQUES DEMERS AUTO INC,"Victoriaville, QC",26.56 HOUR,40 hours per week,Permanent employmentFull time,,1 vacancy,,,,,,4/30/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40582706?source=searchresults
valuator-appraiser,"Posted on March 04, 2024",SYNERTEK INDUSTRIES INC.,"Saint-Jean-Chrysostome, QC",26.61 HOUR,40 hours per week,Permanent employmentFull time,,1 vacancy,,,,,,4/13/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40419427?source=searchresults
tool and die maker,"Posted on January 24, 2024",TGP Metals,"Saint-Laurent, QC",28.00 HOUR,35 to 40 hours per week,Permanent employmentFull time,Starts as soon as possible,1 vacancy,English or French,"Other trades certificate or diploma

or equivalent experience",3 years to less than 5 years,"Compute dimensions and tolerances and set up machine tools, Verify machined parts for conformance to specifications using precision measuring instruments, Program CNC machine tools, Read and interpret blueprints, maps, drawings and specifications, Realize machine castings to make metal molds, core boxes and precisely shaped models, Inspect and test final products, Set up and operate electrical discharge machines (EDM), Lay out, shape and assemble patterns of metal, wood, plastic and other materials from blueprints, models or templates, Position, secure, measure and work metal stock or castings to lay out for machining, Set up and operate conventional and computer controlled machine tools","Health care plan, Free parking available",4/5/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40601747?source=searchresults
hot dog vendor,"Posted on March 26, 2024",Hôtel Castel,"Granby, QC",15.35 HOUR,,Permanent employmentPart time,Starts as soon as possible,1 vacancy,,,,,,4/24/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40624717?source=searchresults
administrative technician,"Posted on March 05, 2024",Ministère de la Cybersécurité et du Numérique,"Québec, QC",21.37 HOUR,14 hours per week,Casual employmentPart time leading to full time,,1 vacancy,,,,,,4/12/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40428361?source=searchresults
sales assistant,"Posted on March 20, 2024",Services Plus,"Trois-Rivières, QC","50,000 YEAR",37.5 hours per week,Permanent employmentFull time,,1 vacancy,,,,,,4/20/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40570343?source=searchresults
construction project coordinator,"Posted on March 15, 2024",Magnetik Ressources Humaines inc.,"Sainte-Marie, QC","75,000 YEAR",,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/13/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40523053?source=searchresults
special education technician - social and community services,"Posted on March 26, 2024",CISSS de l'Abitibi-Témiscamingue,"Macamic, QC",24.78 HOUR,,Term or contractFull time,Starts as soon as possible,1 vacancy,,,,,,4/24/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40627948?source=searchresults
"labourer, park maintenance","Posted on March 28, 2024",VILLE DE ROUYN-NORANDA,"Rouyn-Noranda, QC",30.06 HOUR,40 hours per week,Seasonal employmentFull time,,1 vacancy,,,,,,4/11/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40650880?source=searchresults
"manager, manufacturing industry","Posted on March 15, 2024",Fed Ingénierie,"Laval, QC","65,000 YEAR",,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/13/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40527594?source=searchresults
accounting bookkeeper,"Posted on March 14, 2024",Alévo TALENTS,"Québec, QC",28.00 HOUR,,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/12/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40508777?source=searchresults
carpenter helper,"Posted on March 11, 2024",Gatineau Fish And Game Club Inc.,"Gracefield, , QC",20.00 HOUR,40 hours per week,Seasonal employmentFull time,,2 vacancies,Bilingual,Secondary (high) school graduation certificate,1 to less than 7 months,"Load, unload and transport construction materials, Erect and dismantle concrete forms, scaffolding, ramps, catwalks shoring and barricades, Mix, pour and spread materials such as concrete and asphalt, Assist in framing houses, erecting walls and building roofs, Assist in demolishing buildings, Clean and pile salvaged materials, Perform routine maintenance work, Remove rubble and other debris at construction sites","Bonus, Registered Retirement Savings Plan (RRSP)",4/1/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40483602?source=searchresults
office administrator,"Posted on January 08, 2024",ANWAR & ANWAR CONSULTING INC.,"Matane, QC",28.10 HOUR,35 hours per week,Permanent employmentFull time,Starts as soon as possible,3 vacancies,English,"College, CEGEP or other non-university certificate or diploma from a program of 1 year to 2 years

or equivalent experience",1 year to less than 2 years,"Review and evaluate new administrative procedures, Establish work priorities and ensure procedures are followed and deadlines are met, Carry out administrative activities of establishment, Assemble data and prepare periodic and special reports, manuals and correspondence, Oversee and co-ordinate office administrative procedures",,4/5/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/39973054?source=searchresults
financial controller,"Posted on March 13, 2024",Fed Finance,"Saint-Hyacinthe, QC","100,000 YEAR",,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/11/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40504889?source=searchresults
legal secretary,"Posted on March 15, 2024",Réseau d?aide juridique,"Granby, QC","42,315 YEAR",,Term or contractFull time,Starts as soon as possible,1 vacancy,,,,,,4/13/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40527476?source=searchresults
administrative support officer,"Posted on March 25, 2024",Collège de Maisonneuve,"Montréal, QC",22.36 YEAR,,Part time,Starts as soon as possible,1 vacancy,,,,,,4/23/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40613251?source=searchresults
intermediate accountant,"Posted on March 08, 2024",Mallette S.E.N.C.R.L.,"La Pocatière, QC",32.63 HOUR,,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/6/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40455340?source=searchresults
spreader operator helper - plastic products manufacturing,"Posted on March 13, 2024",Unibeauce inc.,"Saint-Isidore, QC",20.00 HOUR,,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/11/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40504958?source=searchresults
tutor - elementary school subjects,"Posted on March 21, 2024",ACCOMPAGNEMENT SCOLAIRE INC.,"Longueuil, QC",25.00 HOUR,5 hours per week,Permanent employmentPart time,,20 vacancies,,,,,,4/30/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40580145?source=searchresults
sales associate,"Posted on March 20, 2024",Majestic Filatures,"Westmount, QC",18.00 HOUR,,Full time,Starts as soon as possible,1 vacancy,,,,,,,https://www.jobbank.gc.ca/jobsearch/jobposting/40574396?source=searchresults
apprentice motor vehicle mechanic,"Posted on March 01, 2024",RADIATEUR LAMOUREUX (2014)    INC.,"Sainte-Adèle, QC",21.00 HOUR,40 hours per week,Permanent employmentFull time,,1 vacancy,,,,,,4/10/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40402688?source=searchresults
psychoeducator,"Posted on March 08, 2024",CISSS DE LA GASPESIE,"Maria, QC",27.08 HOUR,35 hours per week,Permanent employmentFull time,,1 vacancy,,,,,,4/21/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40458943?source=searchresults
druggist,"Posted on March 14, 2024",CISSS DE LA GASPESIE,"Gaspé, QC",43.93 HOUR,40 hours per week,Permanent employmentFull time,,1 vacancy,,,,,,4/12/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40515668?source=searchresults
convenience store manager,"Posted on March 20, 2024",Sprint,"Mont-Laurier, QC",19.25 HOUR,,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/18/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40564439?source=searchresults
